count,precision,recall,f1-score
50,0.6036148714930352,0.498853900987509,0.527371609817166
100,0.733928454646524,0.6636403766921718,0.67724680873592
200,0.8160846249427768,0.771203649205415,0.7732077069922862
300,0.8370528415407755,0.7910274017395854,0.7944789340757556
500,0.8538601137924269,0.802978876463279,0.8090830740771882
600,0.8603099862664312,0.814794650447976,0.8186360791128301
750,0.8623291478647569,0.8102740173958537,0.8170487775255285
1000,0.869138709044536,0.8336635929631809,0.8328314819486098
1500,0.8737901379896672,0.8361225557517493,0.8367730317553742
2000,0.8778693349028841,0.8257586161794519,0.832732684336569
3000,0.882504414361389,0.8436089856778497,0.8454089084459889
5000,0.8896082663004383,0.8382430841671572,0.845218553708842
7500,0.8929108625989143,0.8578264992479235,0.8577143884824873
10000,0.8968837878490616,0.8466614348309464,0.8538055376489748
15000,0.8963115558171474,0.8454859067425283,0.8526736081915599
